Sn,Brand,Vehicles Model,Type,Plate Number (Reference Vehicle),Empty Weight,Full Weight,Sensor Min Value,Sensor Max Value,Project Name
1,UNKNOWN,COMP 7 YARDS,COMPACTOR,RRA 4706,5200,10000,638,1748,Makkah 4 
2,UNKNOWN,INT SWEEPER,SWEEPER,RRA 4676,10370,11835,550,1713,Makkah 4 
3,UNKNOWN,D/T 2.5 TON,DYNA,RRA 4684,3600,8100,649,3088,Makkah 4 
4,UNKNOWN,MAKUKIA,NO TYPE,RRA 4745,3600,4800,521,1651,Makkah 4 
5,UNKNOWN,D/MAX DUMBING,NO TYPE,RRA 4742,2195,2330,452,2017,Makkah 4
6,UNKNOWN,HOOK LEFT,NO TYPE,RRA 4755,12950,20400,611,3296,Makkah 4
7,UNKNOWN,STREET W.T,NO TYPE,RRA 4741,7270,18225,571,1651,Makkah 4
8,UNKNOWN,CONTAINER W.T ,CONTAINER,RRA 4757,21330,9040,451,1624,Makkah 4
9,UNKNOWN,VACCUM TANKER(SMALL),TANKER,RRA 4778,7890,16950,645,2339,Makkah 4
10,UNKNOWN,COMPACTOR 22 CUBIC YARD,COMPACTOR,RRA 4377,11280,18040,540,1204,Makkah 4
11,UNKNOWN,DUMP TRUCK SIXER,DUMP TRUCK,RRA 4381,13100,39320,786,1110,Makkah 4
12,UNKNOWN,DUMP TRUCK( MEDIUM),DUMP TRUCK,RRA 4355,7260,23680,767,1186,Makkah 4
13,UNKNOWN,VACCUM TANKER(MEDIUM),TANKER,RRA 4778,7890,16950,645,2339,Makkah 4
14,ISUZU,ISUZU WINCH BOOM TRUCK2020),BOOM TRUCK,URB 5737,10640,19410,480,1348,Al Yamama Taif
15,ISUZU, ISUZU TRUCK 10 YARD ,TRUCK,LRA 7024,6960,9180,568,1557,Al Hasa 
16,ISUZU, ISUZU TRUCK 20 YARD ,TRUCK,LRA 7008,11280,18040,691,2029,Al Hasa 
17,ISUZU, ISUZU DUM TRUCK  8M ,DUMP TRUCK,LRA 7044,7260,23680,652,2290,Al Hasa 
18,ISUZU, ISUZU DUM TRUCK  4M ,DUMP TRUCK,LRA 7054,5320,17180,528,1585,Al Hasa 
19,BENZ ,2020/01  BENZ TRAILOR,TRAILOR,XRA 2552,24960,42100,457,3408,Al Hasa 
20,ISUZU,ISUZU DIESEL TANKER,TRAILOR,LRA 7186,12740,26480,526,2134,Al Hasa 
21,RENAULT,RENAULT TRUCK ,TRUCK,ZRA 6158,24000,64000,460,2059,Yamama Cleaning Project Dammam
22,VOLVO,VOLVO TRUCK TRAILOR/2013,TRAILOR,LJA 1399,24000,64000,468,4507,First Mazaya
23,MITSUBISHI ,MITSUBISHI BOOM TRUCK/2006,TRUCK,TSX 986,6000,11000,571,1896,First Mazaya
24,MITSUBISHI ,MITSUBISHI FUSO CANTER,NO TYPE,KSB 7315,3570,6570,642,3898,IDEC
25,UNKNOWN,WATER TANKER (BIG),TANKER,GUA 2207,13130,30620,790,3651,Jaffura Project
26,HINO,HINO MEDIUM DUM TRUCK ,DUMP TRUCK,HZA 6654 ,7480,17000,714,1610,Alascon
27,MITSUBISHI ,MITSUBISHI DYNA 5 MTR,DYNA,RKA 4012 ,3980,10470,751,2327,Alascon
28,MITSUBISHI ,MITSUBISHI  WINCH  (satta),NO TYPE,ZRA 6500,3600,8400,470,4159,Hussain Muhammed Al sinan 
29, ISUZU, ISUZU WINCH  (satta),NO TYPE,NDA 3348,1570,5360,748,2077,Hussain Muhammed Al sinan 
30, ISUZU,  ISUZU CYZ DUMP TRUCK,  DUMP TRUCK,VZA 1075,1098,4668,654,3391,Yamama Pipeline Project Jeedha
31, ISUZU, ISUZU REWARD NP DYNA,DYNA,GDB 5476 ,1006,4162,749,2253,Yamama Pipeline Project Jeedha
32,UNKNOWN,MAN BOOM TRUCK, BOOM TRUCK,GUA 6340,1042,5153,955,2969,Yamama Pipeline Project Jeedha
33, ISUZU,ISUZU DUMP TRUCK SMALL,  DUMP TRUCK,GDB 5478,963,3332,522,1439,Yamama Pipeline Project Jeedha
34,HINO,HINO 700 DUMP TRUCK(4041)   ,DUMP TRUCK(4041),XLA 7922,1478,4839,635,3431,Yamama Pipeline Project Jeedha
35, ISUZU,ISUZU CYZ BOOM TRUCK   , BOOM TRUCK,VZA 1118 ,1210,9148,259,2950,Yamama Pipeline Project Jeedha
36, ISUZU,ISUZU CYZ VACUUM TANKER 3336,VACUUM TANKER 3336,EDB 4606 ,1267,5547,710,4282,Yamama Pipeline Project Jeedha
37, ISUZU,ISUZU CYZ VACUUM TANKER 3339,VACUUM TANKER 3339,EDB 4607,1478,6637,1174,3957,Yamama Pipeline Project Jeedha
38, ISUZU,ISUZU CYZ VACUUM TANKER, VACUUM TANKER,UNA 6158,1179,3997,491,3297,Yamama Pipeline Project Jeedha
39, ISUZU,ISUZU REWARD NP DUMP TRUCK SMALL, DUMP TRUCK SMALL,GDB 5428 ,1251,5892,1074,2490,Yamama Pipeline Project Jeedha
40,SCANIA,SCANIA P 360 JET TANKER,JET TANKER,ZDB 5725,1260,4139,609,2681,Yamama Pipeline Project Jeedha
41,HINO,HINO 500 WATER TANKER, WATER TANKER,XLA 7875,883,4519,799,1351,Yamama Pipeline Project Jeedha
42, ISUZU,ISUZU REWARD NP DYNA SMALL, DYNA SMALL,HRB 2897,1048,3380,537,1748,Yamama Pipeline Project Jeedha
43, ISUZU,ISUZU VYZ DUMP TRUCK,  DUMP TRUCK,EDB 3130,1010,3512,505,1236,Yamama Pipeline Project Jeedha
44,BENZ,BENZ ACTORS TRAILER HEAD,TRAILER HEAD,LVA 3321,908,5511,688,4557,Yamama Pipeline Project Jeedha
45, ISUZU,ISUZU REWARD NP DIESEL TANKER, DIESEL TANKER ,JAB 4032,1289,6710,1150,1795,Yamama Pipeline Project Jeedha
46, ISUZU,ISUZU FVR STREET WASHING TANKER, WASHING TANKER,RNA 9493,1184,7162,1184,1223,Yamama Pipeline Project Jeedha
47,UD NISSAN  ,UD NISSAN VACCUM TANKER PK 220,VACUUM TANKER PK 210,GEA 1685,739,4299,699,741,Yamama Pipeline Project Jeedha
48,ISUZU,ISUZU FORWARD FV VACUUM TANKER, VACUUM TANKER,ZHA 1755 ,1181,7125,1181,1181,Yamama Pipeline Project Jeedha
